Action,Id,RuleSet,Category,Title,Severity,Reasoning
None,CA1060,.NET Quality,Design,Move pinvokes to native methods class,Warning,
None,CA1061,.NET Quality,Design,Do not hide base class methods,Warning,
None,CA1062,.NET Quality,Design,Validate arguments of public methods,Warning,
None,CA1063,.NET Quality,Design,Implement IDisposable Correctly,Warning,
None,CA1064,.NET Quality,Design,Exceptions should be public,Warning,
None,CA1065,.NET Quality,Design,Do not raise exceptions in unexpected locations,Warning,
None,CA1066,.NET Quality,Design,Implement IEquatable when overriding Object.Equals,Warning,
None,CA1067,.NET Quality,Design,Override Object.Equals(object) when implementing IEquatable<T>,Warning,
None,CA1068,.NET Quality,Design,CancellationToken parameters must come last,Warning,
None,CA1069,.NET Quality,Design,Enums values should not be duplicated,Warning,
None,CA1070,.NET Quality,Design,Do not declare event fields as virtual,Warning,
None,CA1200,.NET Quality,Documentation,Avoid using cref tags with a prefix,Warning,
None,CA1303,.NET Quality,Globalization,Do not pass literals as localized parameters,Warning,
None,CA1304,.NET Quality,Globalization,Specify CultureInfo,Warning,
None,CA1305,.NET Quality,Globalization,Specify IFormatProvider,Disabled,
None,CA1307,.NET Quality,Globalization,Specify StringComparison for clarity,Warning,
None,CA1308,.NET Quality,Globalization,Normalize strings to uppercase,Warning,
None,CA1309,.NET Quality,Globalization,Use ordinal string comparison,Warning,
None,CA1310,.NET Quality,Globalization,Specify StringComparison for correctness,Disabled,
None,CA1311,.NET Quality,Globalization,Specify a culture or use an invariant version,Warning,
None,CA2101,.NET Quality,Globalization,Specify marshaling for P/Invoke string arguments,Warning,
None,CA1401,.NET Quality,Interoperability,P/Invokes should not be visible,Warning,
None,CA1416,.NET Quality,Interoperability,Validate platform compatibility,Warning,
None,CA1417,.NET Quality,Interoperability,Do not use 'OutAttribute' on string parameters for P/Invokes,Warning,
None,CA1418,.NET Quality,Interoperability,Use valid platform string,Warning,
None,CA1419,.NET Quality,Interoperability,Provide a parameterless constructor that is as visible as the containing type for concrete types derived from 'System.Runtime.InteropServices.SafeHandle',Warning,
None,CA1420,.NET Quality,Interoperability,"Property, type, or attribute requires runtime marshalling",Warning,
None,CA1421,.NET Quality,Interoperability,This method uses runtime marshalling even when the 'DisableRuntimeMarshallingAttribute' is applied,Warning,
None,CA1422,.NET Quality,Interoperability,Validate platform compatibility,Warning,
None,CA1501,.NET Quality,Maintainability,Avoid excessive inheritance,Warning,
None,CA1502,.NET Quality,Maintainability,Avoid excessive complexity,Warning,
None,CA1505,.NET Quality,Maintainability,Avoid unmaintainable code,Warning,
None,CA1506,.NET Quality,Maintainability,Avoid excessive class coupling,Warning,
None,CA1507,.NET Quality,Maintainability,Use nameof to express symbol names,Warning,
None,CA1508,.NET Quality,Maintainability,Avoid dead conditional code,Warning,
None,CA1509,.NET Quality,Maintainability,Invalid entry in code metrics rule specification file,Warning,
None,CA1510,.NET Quality,Maintainability,Use ArgumentNullException throw helper,Warning,
None,CA1511,.NET Quality,Maintainability,Use ArgumentException throw helper,Warning,
None,CA1512,.NET Quality,Maintainability,Use ArgumentOutOfRangeException throw helper,Warning,
None,CA1513,.NET Quality,Maintainability,Use ObjectDisposedException throw helper,Warning,
None,CA1514,.NET Quality,Maintainability,Avoid redundant length argument,Warning,
None,CA1515,.NET Quality,Maintainability,Consider making public types internal,Warning,
None,CA1516,.NET Quality,Maintainability,Use cross-platform intrinsics,Warning,
None,CA1517,.NET Quality,Maintainability,Use 'ReadOnlySpan<T>' or 'ReadOnlyMemory<T>' instead of 'Span<T>' or 'Memory<T>',Warning,
None,CA1700,.NET Quality,Naming,Do not name enum values 'Reserved',Warning,
None,CA1704,.NET Quality,Naming,Identifiers should be spelled correctly,Hidden,Undocumented and covered by typos linter
None,CA1707,.NET Quality,Naming,Identifiers should not contain underscores,Warning,
None,CA1708,.NET Quality,Naming,Identifiers should differ by more than case,Warning,
None,CA1710,.NET Quality,Naming,Identifiers should have correct suffix,Warning,
None,CA1711,.NET Quality,Naming,Identifiers should not have incorrect suffix,Warning,
None,CA1712,.NET Quality,Naming,Do not prefix enum values with type name,Warning,
None,CA1713,.NET Quality,Naming,Events should not have 'Before' or 'After' prefix,Warning,
None,CA1714,.NET Quality,Naming,Flags enums should have plural names,Warning,
None,CA1715,.NET Quality,Naming,Identifiers should have correct prefix,Warning,
None,CA1716,.NET Quality,Naming,Identifiers should not match keywords,Disabled,
None,CA1717,.NET Quality,Naming,Only FlagsAttribute enums should have plural names,Warning,
None,CA1720,.NET Quality,Naming,Identifier contains type name,Disabled,
None,CA1721,.NET Quality,Naming,Property names should not match get methods,Warning,
None,CA1724,.NET Quality,Naming,Type names should not match namespaces,Warning,
None,CA1725,.NET Quality,Naming,Parameter names should match base declaration,Warning,
None,CA1727,.NET Quality,Naming,Use PascalCase for named placeholders,Warning,
None,CA1802,.NET Quality,Performance,Use literals where appropriate,Warning,
None,CA1805,.NET Quality,Performance,Do not initialize unnecessarily,Warning,
None,CA1806,.NET Quality,Performance,Do not ignore method results,Warning,
None,CA1810,.NET Quality,Performance,Initialize reference type static fields inline,Warning,
None,CA1812,.NET Quality,Performance,Avoid uninstantiated internal classes,Disabled,
None,CA1813,.NET Quality,Performance,Avoid unsealed attributes,Warning,
None,CA1814,.NET Quality,Performance,Prefer jagged arrays over multidimensional,Warning,
None,CA1815,.NET Quality,Performance,Override equals and operator equals on value types,Warning,
None,CA1819,.NET Quality,Performance,Properties should not return arrays,Warning,
None,CA1820,.NET Quality,Performance,Test for empty strings using string length,Warning,
None,CA1821,.NET Quality,Performance,Remove empty Finalizers,Warning,
None,CA1822,.NET Quality,Performance,Mark members as static,Warning,
None,CA1823,.NET Quality,Performance,Avoid unused private fields,Warning,
None,CA1824,.NET Quality,Performance,Mark assemblies with NeutralResourcesLanguageAttribute,Warning,
None,CA1825,.NET Quality,Performance,Avoid zero-length array allocations,Warning,
None,CA1826,.NET Quality,Performance,Do not use Enumerable methods on indexable collections,Warning,
None,CA1827,.NET Quality,Performance,Do not use Count() or LongCount() when Any() can be used,Warning,
None,CA1828,.NET Quality,Performance,Do not use CountAsync() or LongCountAsync() when AnyAsync() can be used,Warning,
None,CA1829,.NET Quality,Performance,Use Length/Count property instead of Count() when available,Warning,
None,CA1830,.NET Quality,Performance,Prefer strongly-typed Append and Insert method overloads on StringBuilder,Warning,
None,CA1831,.NET Quality,Performance,Use AsSpan or AsMemory instead of Range-based indexers when appropriate,Warning,
None,CA1832,.NET Quality,Performance,Use AsSpan or AsMemory instead of Range-based indexers when appropriate,Warning,
None,CA1833,.NET Quality,Performance,Use AsSpan or AsMemory instead of Range-based indexers when appropriate,Warning,
None,CA1834,.NET Quality,Performance,Consider using 'StringBuilder.Append(char)' when applicable,Warning,
None,CA1835,.NET Quality,Performance,Prefer the 'Memory'-based overloads for 'ReadAsync' and 'WriteAsync',Warning,
None,CA1836,.NET Quality,Performance,Prefer IsEmpty over Count,Warning,
None,CA1837,.NET Quality,Performance,Use 'Environment.ProcessId',Warning,
None,CA1838,.NET Quality,Performance,Avoid 'StringBuilder' parameters for P/Invokes,Warning,
None,CA1839,.NET Quality,Performance,Use 'Environment.ProcessPath',Warning,
None,CA1840,.NET Quality,Performance,Use 'Environment.CurrentManagedThreadId',Warning,
None,CA1841,.NET Quality,Performance,Prefer Dictionary.Contains methods,Warning,
None,CA1842,.NET Quality,Performance,Do not use 'WhenAll' with a single task,Warning,
None,CA1843,.NET Quality,Performance,Do not use 'WaitAll' with a single task,Warning,
None,CA1844,.NET Quality,Performance,Provide memory-based overrides of async methods when subclassing 'Stream',Warning,
None,CA1845,.NET Quality,Performance,Use span-based 'string.Concat',Warning,
None,CA1846,.NET Quality,Performance,Prefer 'AsSpan' over 'Substring',Warning,
None,CA1847,.NET Quality,Performance,Use char literal for a single character lookup,Warning,
None,CA1848,.NET Quality,Performance,Use the LoggerMessage delegates,Warning,
None,CA1849,.NET Quality,Performance,Call async methods when in an async method,Warning,
None,CA1850,.NET Quality,Performance,Prefer static 'HashData' method over 'ComputeHash',Warning,
None,CA1851,.NET Quality,Performance,Possible multiple enumerations of 'IEnumerable' collection,Warning,
None,CA1852,.NET Quality,Performance,Seal internal types,Warning,
None,CA1853,.NET Quality,Performance,Unnecessary call to 'Dictionary.ContainsKey(key)',Warning,
None,CA1854,.NET Quality,Performance,"Prefer the 'IDictionary.TryGetValue(TKey, out TValue)' method",Warning,
None,CA1855,.NET Quality,Performance,Prefer 'Clear' over 'Fill',Warning,
None,CA1856,.NET Quality,Performance,Incorrect usage of ConstantExpected attribute,Warning,
None,CA1857,.NET Quality,Performance,A constant is expected for the parameter,Warning,
None,CA1858,.NET Quality,Performance,Use 'StartsWith' instead of 'IndexOf',Warning,
None,CA1859,.NET Quality,Performance,Use concrete types when possible for improved performance,Warning,
None,CA1860,.NET Quality,Performance,Avoid using 'Enumerable.Any()' extension method,Warning,
None,CA1861,.NET Quality,Performance,Avoid constant arrays as arguments,Warning,
None,CA1862,.NET Quality,Performance,Use the 'StringComparison' method overloads to perform case-insensitive string comparisons,Warning,
None,CA1863,.NET Quality,Performance,Use 'CompositeFormat',Warning,
None,CA1864,.NET Quality,Performance,"Prefer the 'IDictionary.TryAdd(TKey, TValue)' method",Warning,
None,CA1865,.NET Quality,Performance,Use char overload,Warning,
None,CA1866,.NET Quality,Performance,Use char overload,Warning,
None,CA1867,.NET Quality,Performance,Use char overload,Warning,
None,CA1868,.NET Quality,Performance,Unnecessary call to 'Contains(item)',Warning,
None,CA1869,.NET Quality,Performance,Cache and reuse 'JsonSerializerOptions' instances,Warning,
None,CA1870,.NET Quality,Performance,Use a cached 'SearchValues' instance,Warning,
None,CA1871,.NET Quality,Performance,Do not pass a nullable struct to 'ArgumentNullException.ThrowIfNull',Warning,
None,CA1872,.NET Quality,Performance,Prefer 'Convert.ToHexString' and 'Convert.ToHexStringLower' over call chains based on 'BitConverter.ToString',Warning,
None,CA1873,.NET Quality,Performance,Avoid potentially expensive logging,Warning,
None,CA1874,.NET Quality,Performance,Use 'Regex.IsMatch',Warning,
None,CA1875,.NET Quality,Performance,Use 'Regex.Count',Warning,
None,CA1876,.NET Quality,Performance,Do not use 'AsParallel' in 'foreach',Warning,
None,CA1877,.NET Quality,Performance,Collapse consecutive Path.Combine or Path.Join operations,Warning,
None,CA2000,.NET Quality,Reliability,Dispose objects before losing scope,Warning,
None,CA2002,.NET Quality,Reliability,Do not lock on objects with weak identity,Warning,
None,CA2007,.NET Quality,Reliability,Consider calling ConfigureAwait on the awaited task,Warning,
None,CA2008,.NET Quality,Reliability,Do not create tasks without passing a TaskScheduler,Warning,
None,CA2009,.NET Quality,Reliability,Do not call ToImmutableCollection on an ImmutableCollection value,Warning,
None,CA2011,.NET Quality,Reliability,Avoid infinite recursion,Warning,
None,CA2012,.NET Quality,Reliability,Use ValueTasks correctly,Warning,
None,CA2013,.NET Quality,Reliability,Do not use ReferenceEquals with value types,Warning,
None,CA2014,.NET Quality,Reliability,Do not use stackalloc in loops,Warning,
None,CA2015,.NET Quality,Reliability,Do not define finalizers for types derived from MemoryManager<T>,Warning,
None,CA2016,.NET Quality,Reliability,Forward the 'CancellationToken' parameter to methods,Warning,
None,CA2017,.NET Quality,Reliability,Parameter count mismatch,Warning,
None,CA2018,.NET Quality,Reliability,'Buffer.BlockCopy' expects the number of bytes to be copied for the 'count' argument,Warning,
None,CA2019,.NET Quality,Reliability,Improper 'ThreadStatic' field initialization,Warning,
None,CA2020,.NET Quality,Reliability,Prevent behavioral change,Warning,
None,CA2021,.NET Quality,Reliability,Do not call Enumerable.Cast<T> or Enumerable.OfType<T> with incompatible types,Warning,
None,CA2022,.NET Quality,Reliability,Avoid inexact read with 'Stream.Read',Warning,
None,CA2023,.NET Quality,Reliability,Invalid braces in message template,Warning,
None,CA2024,.NET Quality,Reliability,Do not use 'StreamReader.EndOfStream' in async methods,Warning,
None,CA2025,.NET Quality,Reliability,Do not pass 'IDisposable' instances into unawaited tasks,Warning,
None,CA2026,.NET Quality,Reliability,Prefer JsonElement.Parse over JsonDocument.Parse().RootElement,Warning,
None,CA2027,.NET Quality,Reliability,Cancel Task.Delay after Task.WhenAny completes,Warning,
None,CA2100,.NET Quality,Security,Review SQL queries for security vulnerabilities,Warning,
None,CA2119,.NET Quality,Security,Seal methods that satisfy private interfaces,Warning,
None,CA2153,.NET Quality,Security,Do Not Catch Corrupted State Exceptions,Warning,
None,CA2300,.NET Quality,Security,Do not use insecure deserializer BinaryFormatter,Warning,
None,CA2301,.NET Quality,Security,Do not call BinaryFormatter.Deserialize without first setting BinaryFormatter.Binder,Warning,
None,CA2302,.NET Quality,Security,Ensure BinaryFormatter.Binder is set before calling BinaryFormatter.Deserialize,Warning,
None,CA2305,.NET Quality,Security,Do not use insecure deserializer LosFormatter,Warning,
None,CA2310,.NET Quality,Security,Do not use insecure deserializer NetDataContractSerializer,Warning,
None,CA2311,.NET Quality,Security,Do not deserialize without first setting NetDataContractSerializer.Binder,Warning,
None,CA2312,.NET Quality,Security,Ensure NetDataContractSerializer.Binder is set before deserializing,Warning,
None,CA2315,.NET Quality,Security,Do not use insecure deserializer ObjectStateFormatter,Warning,
None,CA2321,.NET Quality,Security,Do not deserialize with JavaScriptSerializer using a SimpleTypeResolver,Warning,
None,CA2322,.NET Quality,Security,Ensure JavaScriptSerializer is not initialized with SimpleTypeResolver before deserializing,Warning,
None,CA2326,.NET Quality,Security,Do not use TypeNameHandling values other than None,Warning,
None,CA2327,.NET Quality,Security,Do not use insecure JsonSerializerSettings,Warning,
None,CA2328,.NET Quality,Security,Ensure that JsonSerializerSettings are secure,Warning,
None,CA2329,.NET Quality,Security,Do not deserialize with JsonSerializer using an insecure configuration,Warning,
None,CA2330,.NET Quality,Security,Ensure that JsonSerializer has a secure configuration when deserializing,Warning,
None,CA2350,.NET Quality,Security,Do not use DataTable.ReadXml() with untrusted data,Warning,
None,CA2351,.NET Quality,Security,Do not use DataSet.ReadXml() with untrusted data,Warning,
None,CA2352,.NET Quality,Security,Unsafe DataSet or DataTable in serializable type can be vulnerable to remote code execution attacks,Warning,
None,CA2353,.NET Quality,Security,Unsafe DataSet or DataTable in serializable type,Warning,
None,CA2354,.NET Quality,Security,Unsafe DataSet or DataTable in deserialized object graph can be vulnerable to remote code execution attacks,Warning,
None,CA2355,.NET Quality,Security,Unsafe DataSet or DataTable type found in deserializable object graph,Warning,
None,CA2356,.NET Quality,Security,Unsafe DataSet or DataTable type in web deserializable object graph,Warning,
None,CA2361,.NET Quality,Security,Ensure auto-generated class containing DataSet.ReadXml() is not used with untrusted data,Warning,
None,CA2362,.NET Quality,Security,Unsafe DataSet or DataTable in auto-generated serializable type can be vulnerable to remote code execution attacks,Warning,
None,CA3001,.NET Quality,Security,Review code for SQL injection vulnerabilities,Warning,
None,CA3002,.NET Quality,Security,Review code for XSS vulnerabilities,Warning,
None,CA3003,.NET Quality,Security,Review code for file path injection vulnerabilities,Warning,
None,CA3004,.NET Quality,Security,Review code for information disclosure vulnerabilities,Warning,
None,CA3005,.NET Quality,Security,Review code for LDAP injection vulnerabilities,Warning,
None,CA3006,.NET Quality,Security,Review code for process command injection vulnerabilities,Warning,
None,CA3007,.NET Quality,Security,Review code for open redirect vulnerabilities,Warning,
None,CA3008,.NET Quality,Security,Review code for XPath injection vulnerabilities,Warning,
None,CA3009,.NET Quality,Security,Review code for XML injection vulnerabilities,Warning,
None,CA3010,.NET Quality,Security,Review code for XAML injection vulnerabilities,Warning,
None,CA3011,.NET Quality,Security,Review code for DLL injection vulnerabilities,Warning,
None,CA3012,.NET Quality,Security,Review code for regex injection vulnerabilities,Warning,
None,CA3061,.NET Quality,Security,Do Not Add Schema By URL,Warning,
None,CA3075,.NET Quality,Security,Insecure DTD processing in XML,Warning,
None,CA3076,.NET Quality,Security,Insecure XSLT script processing,Warning,
None,CA3077,.NET Quality,Security,"Insecure Processing in API Design, XmlDocument and XmlTextReader",Warning,
None,CA3147,.NET Quality,Security,Mark Verb Handlers With Validate Antiforgery Token,Warning,
None,CA5350,.NET Quality,Security,Do Not Use Weak Cryptographic Algorithms,Warning,
None,CA5351,.NET Quality,Security,Do Not Use Broken Cryptographic Algorithms,Warning,
None,CA5358,.NET Quality,Security,Review cipher mode usage with cryptography experts,Warning,
None,CA5359,.NET Quality,Security,Do Not Disable Certificate Validation,Warning,
None,CA5360,.NET Quality,Security,Do Not Call Dangerous Methods In Deserialization,Warning,
None,CA5361,.NET Quality,Security,Do Not Disable SChannel Use of Strong Crypto,Warning,
None,CA5362,.NET Quality,Security,Potential reference cycle in deserialized object graph,Warning,
None,CA5363,.NET Quality,Security,Do Not Disable Request Validation,Warning,
None,CA5364,.NET Quality,Security,Do Not Use Deprecated Security Protocols,Warning,
None,CA5365,.NET Quality,Security,Do Not Disable HTTP Header Checking,Warning,
None,CA5366,.NET Quality,Security,Use XmlReader for 'DataSet.ReadXml()',Warning,
None,CA5367,.NET Quality,Security,Do Not Serialize Types With Pointer Fields,Warning,
None,CA5368,.NET Quality,Security,Set ViewStateUserKey For Classes Derived From Page,Warning,
None,CA5369,.NET Quality,Security,Use XmlReader for 'XmlSerializer.Deserialize()',Warning,
None,CA5370,.NET Quality,Security,Use XmlReader for XmlValidatingReader constructor,Warning,
None,CA5371,.NET Quality,Security,Use XmlReader for 'XmlSchema.Read()',Warning,
None,CA5372,.NET Quality,Security,Use XmlReader for XPathDocument constructor,Warning,
None,CA5373,.NET Quality,Security,Do not use obsolete key derivation function,Warning,
None,CA5374,.NET Quality,Security,Do Not Use XslTransform,Warning,
None,CA5375,.NET Quality,Security,Do Not Use Account Shared Access Signature,Warning,
None,CA5376,.NET Quality,Security,Use SharedAccessProtocol HttpsOnly,Warning,
None,CA5377,.NET Quality,Security,Use Container Level Access Policy,Warning,
None,CA5378,.NET Quality,Security,Do not disable ServicePointManagerSecurityProtocols,Warning,
None,CA5379,.NET Quality,Security,Ensure Key Derivation Function algorithm is sufficiently strong,Warning,
None,CA5380,.NET Quality,Security,Do Not Add Certificates To Root Store,Warning,
None,CA5381,.NET Quality,Security,Ensure Certificates Are Not Added To Root Store,Warning,
None,CA5382,.NET Quality,Security,Use Secure Cookies In ASP.NET Core,Warning,
None,CA5383,.NET Quality,Security,Ensure Use Secure Cookies In ASP.NET Core,Warning,
None,CA5384,.NET Quality,Security,Do Not Use Digital Signature Algorithm (DSA),Warning,
None,CA5385,.NET Quality,Security,Use Rivest-Shamir-Adleman (RSA) Algorithm With Sufficient Key Size,Warning,
None,CA5386,.NET Quality,Security,Avoid hardcoding SecurityProtocolType value,Warning,
None,CA5387,.NET Quality,Security,Do Not Use Weak Key Derivation Function With Insufficient Iteration Count,Warning,
None,CA5388,.NET Quality,Security,Ensure Sufficient Iteration Count When Using Weak Key Derivation Function,Warning,
None,CA5389,.NET Quality,Security,Do Not Add Archive Item's Path To The Target File System Path,Warning,
None,CA5390,.NET Quality,Security,Do not hard-code encryption key,Warning,
None,CA5391,.NET Quality,Security,Use antiforgery tokens in ASP.NET Core MVC controllers,Warning,
None,CA5392,.NET Quality,Security,Use DefaultDllImportSearchPaths attribute for P/Invokes,Warning,
None,CA5393,.NET Quality,Security,Do not use unsafe DllImportSearchPath value,Warning,
None,CA5394,.NET Quality,Security,Do not use insecure randomness,Warning,
None,CA5395,.NET Quality,Security,Miss HttpVerb attribute for action methods,Warning,
None,CA5396,.NET Quality,Security,Set HttpOnly to true for HttpCookie,Warning,
None,CA5397,.NET Quality,Security,Do not use deprecated SslProtocols values,Warning,
None,CA5398,.NET Quality,Security,Avoid hardcoded SslProtocols values,Warning,
None,CA5399,.NET Quality,Security,HttpClients should enable certificate revocation list checks,Warning,
None,CA5400,.NET Quality,Security,Ensure HttpClient certificate revocation list check is not disabled,Warning,
None,CA5401,.NET Quality,Security,Do not use CreateEncryptor with non-default IV,Warning,
None,CA5402,.NET Quality,Security,Use CreateEncryptor with the default IV,Warning,
None,CA5403,.NET Quality,Security,Do not hard-code certificate,Warning,
None,CA5404,.NET Quality,Security,Do not disable token validation checks,Warning,
None,CA5405,.NET Quality,Security,Do not always skip token validation in delegates,Warning,
None,IL3000,.NET Quality,SingleFile,Avoid accessing Assembly file path when publishing as a single file,Warning,
None,IL3001,.NET Quality,SingleFile,Avoid accessing Assembly file path when publishing as a single file,Warning,
None,IL3002,.NET Quality,SingleFile,Avoid calling members annotated with 'RequiresAssemblyFilesAttribute' when publishing as a single file,Warning,
None,IL3003,.NET Quality,SingleFile,'RequiresAssemblyFilesAttribute' annotations must match across all interface implementations or overrides.,Warning,
None,IL3005,.NET Quality,SingleFile,RequiresAssemblyFilesAttribute cannot be placed directly on application entry point.,Warning,
None,CA1816,.NET Quality,Usage,Dispose methods should call SuppressFinalize,Warning,
None,CA2200,.NET Quality,Usage,Rethrow to preserve stack details,Warning,
None,CA2201,.NET Quality,Usage,Do not raise reserved exception types,Warning,
None,CA2207,.NET Quality,Usage,Initialize value type static fields inline,Warning,
None,CA2208,.NET Quality,Usage,Instantiate argument exceptions correctly,Warning,
None,CA2211,.NET Quality,Usage,Non-constant fields should not be visible,Warning,
None,CA2213,.NET Quality,Usage,Disposable fields should be disposed,Warning,
None,CA2214,.NET Quality,Usage,Do not call overridable methods in constructors,Warning,
None,CA2215,.NET Quality,Usage,Dispose methods should call base class dispose,Warning,
None,CA2216,.NET Quality,Usage,Disposable types should declare finalizer,Warning,
None,CA2217,.NET Quality,Usage,Do not mark enums with FlagsAttribute,Warning,
None,CA2218,.NET Quality,Usage,Override GetHashCode on overriding Equals,Warning,
None,CA2219,.NET Quality,Usage,Do not raise exceptions in finally clauses,Warning,
None,CA2224,.NET Quality,Usage,Override Equals on overloading operator equals,Warning,
None,CA2225,.NET Quality,Usage,Operator overloads have named alternates,Warning,
None,CA2226,.NET Quality,Usage,Operators should have symmetrical overloads,Warning,
None,CA2227,.NET Quality,Usage,Collection properties should be read only,Warning,
None,CA2231,.NET Quality,Usage,Overload operator equals on overriding value type Equals,Warning,
None,CA2234,.NET Quality,Usage,Pass system uri objects instead of strings,Warning,
None,CA2235,.NET Quality,Usage,Mark all non-serializable fields,Warning,
None,CA2237,.NET Quality,Usage,Mark ISerializable types with serializable,Warning,
None,CA2241,.NET Quality,Usage,Provide correct arguments to formatting methods,Warning,
None,CA2242,.NET Quality,Usage,Test for NaN correctly,Warning,
None,CA2243,.NET Quality,Usage,Attribute string literals should parse correctly,Warning,
None,CA2244,.NET Quality,Usage,Do not duplicate indexed element initializations,Warning,
None,CA2245,.NET Quality,Usage,Do not assign a property to itself,Warning,
None,CA2246,.NET Quality,Usage,Assigning symbol and its member in the same statement,Warning,
None,CA2247,.NET Quality,Usage,Argument passed to TaskCompletionSource constructor should be TaskCreationOptions enum instead of TaskContinuationOptions enum,Warning,
None,CA2248,.NET Quality,Usage,Provide correct 'enum' argument to 'Enum.HasFlag',Warning,
None,CA2249,.NET Quality,Usage,Consider using 'string.Contains' instead of 'string.IndexOf',Warning,
None,CA2250,.NET Quality,Usage,Use 'ThrowIfCancellationRequested',Warning,
None,CA2251,.NET Quality,Usage,Use 'string.Equals',Warning,
None,CA2252,.NET Quality,Usage,This API requires opting into preview features,Warning,
None,CA2253,.NET Quality,Usage,Named placeholders should not be numeric values,Warning,
None,CA2254,.NET Quality,Usage,Template should be a static expression,Warning,
None,CA2255,.NET Quality,Usage,The 'ModuleInitializer' attribute should not be used in libraries,Warning,
None,CA2256,.NET Quality,Usage,All members declared in parent interfaces must have an implementation in a DynamicInterfaceCastableImplementation-attributed interface,Warning,
None,CA2257,.NET Quality,Usage,Members defined on an interface with the 'DynamicInterfaceCastableImplementationAttribute' should be 'static',Warning,
None,CA2258,.NET Quality,Usage,Providing a 'DynamicInterfaceCastableImplementation' interface in Visual Basic is unsupported,Warning,
None,CA2259,.NET Quality,Usage,'ThreadStatic' only affects static fields,Warning,
None,CA2260,.NET Quality,Usage,Use correct type parameter,Warning,
None,CA2261,.NET Quality,Usage,Do not use ConfigureAwaitOptions.SuppressThrowing with Task<TResult>,Warning,
None,CA2262,.NET Quality,Usage,Set 'MaxResponseHeadersLength' properly,Warning,
None,CA2263,.NET Quality,Usage,Prefer generic overload when type is known,Warning,
None,CA2264,.NET Quality,Usage,Do not pass a non-nullable value to 'ArgumentNullException.ThrowIfNull',Warning,
None,CA2265,.NET Quality,Usage,Do not compare Span<T> to 'null' or 'default',Warning,
None,CA2266,.NET Quality,Usage,File-based program entry point should start with '#!',Warning,
None,IDE0001,.NET Style,,Simplify name,Warning,
None,IDE0002,.NET Style,,Simplify member access,Warning,
None,IDE0003,.NET Style,,Name can be simplified,Warning,
None,IDE0004,.NET Style,,Remove unnecessary cast,Warning,
None,IDE0005,.NET Style,,Remove unnecessary import,Warning,
None,IDE0007,.NET Style,,Use var instead of explicit type,Warning,
None,IDE0008,.NET Style,,Use explicit type instead of var,Disabled,
None,IDE0009,.NET Style,,Member access should be qualified,Disabled,
None,IDE0010,.NET Style,,Add missing cases to switch statement,Warning,
None,IDE0011,.NET Style,,Add braces,Warning,
None,IDE0016,.NET Style,,Use throw expression,Warning,
None,IDE0017,.NET Style,,Use object initializers,Warning,
